genero,grupo,habito,origen_genero,origen_predominante,nota
Tetroncium,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Tillandsia,Monocotiledonea,Hierba,Nativa,No aplica,Sin observaciones
Tiquilia,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Trevoa,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Trichocereus,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Trifolium,Latifoliada,Hierba,Mixto,Exotica,Resuelto especie por especie en la hoja 15.
Triglochin,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Trisetum,Monocotiledonea,Graminea,Nativa,No aplica,Sin observaciones
Trixis,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Tropaeolum,Latifoliada,Trepadora,Mixto,Nativa,Resuelto especie por especie en la hoja 15.
Tunilla,Latifoliada,Cactacea,Nativa,No aplica,Sin observaciones
Typha,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Ugni,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Ulex,Latifoliada,Arbusto,Exotica,No aplica,Sin observaciones
Urtica,Latifoliada,Hierba,Mixto,Exotica,Resuelto especie por especie en la hoja 15.
Valeriana,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Verbascum,Latifoliada,Hierba,Exotica,No aplica,Sin observaciones
Verbena,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Vicia,Latifoliada,Trepadora,Mixto,Exotica,Resuelto especie por especie en la hoja 15.
Viviania,Latifoliada,Arbusto,Nativa,No aplica,Sin observaciones
Vulpia,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
Weinmannia,Latifoliada,Arbol,Nativa,No aplica,Sin observaciones
Werneria,Latifoliada,Hierba,Nativa,No aplica,Sin observaciones
Zameioscirpus,Monocotiledonea,Acuatica,Nativa,No aplica,Sin observaciones
Zea,Monocotiledonea,Graminea,Exotica,No aplica,Sin observaciones
