especie_cod,especie,nombre_cientifico,genero,grupo,habito,arboreo,origen,confianza_origen,monumento_natural,decreto_mn,invasora,estado_conservacion_RCE
bx,bromus,Bromus sp.,Bromus,Monocotiledonea,Graminea,No,Nativa,baja,No,No aplica,No aplica,Sin dato - no verificado en RCE
bW,Candelabro,Browningia candelaris,Browningia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
bs1,Bryophyta spp.,Bryophyta spp.,Bryophyta,Briofita,Briofita,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Us,Buddleja suaveolens,Buddleja suaveolens,Buddleja,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Bu,retamo,Bulnesia chilensis,Bulnesia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Lg,Caesalpinia angulata,Caesalpinia angulata,Caesalpinia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C20,Caesalpinia aphylla,Caesalpinia aphylla,Caesalpinia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
jÃ,Calandrinia cymosa,Calandrinia cymosa,Calandrinia,Latifoliada,Suculenta,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cj,pata de guanaco,Calandrinia grandiflora,Calandrinia,Latifoliada,Suculenta,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ck,pata de guanaco,Calandrinia longiscapa,Calandrinia,Latifoliada,Suculenta,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c20,Calandrinia picta,Calandrinia picta,Calandrinia,Latifoliada,Suculenta,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ws,Calandrinia sp.,Calandrinia sp.,Calandrinia,Latifoliada,Suculenta,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
ab,topa topa,Calceolaria biflora,Calceolaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c47,Calceolaria pinifolia,Calceolaria pinifolia,Calceolaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ip,Calceolaria polifolia,Calceolaria polifolia,Calceolaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Pn,Calceolaria pubescens,Calceolaria pubescens,Calceolaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ks,Calceolaria sp.,Calceolaria sp.,Calceolaria,Latifoliada,Hierba,No,Nativa,baja,No,No aplica,No aplica,Sin dato - no verificado en RCE
gl,Calceolaria verbascifolia,Calceolaria verbascifolia,Calceolaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
CP,tiaca,Caldcluvia paniculata,Caldcluvia,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c21,Calliandra chilensis,Calliandra chilensis,Calliandra,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c36,calta de turbera,Caltha appendiculata,Caltha,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cs,Caltha sagittata,Caltha sagittata,Caltha,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c57,Caltha sagittata,Caltha sagittata,Caltha,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
bd,Capsella bursa-pastoris,Capsella bursa-pastoris,Capsella,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
di,dicha,Cardionema ramosissima,Cardionema,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
kn,cardilla,Carduus pycnocephalus,Carduus,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
ca1,Carex aematorhyncha,Carex aematorhyncha,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
c58,Carex canescens,Carex canescens,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
c59,Carex darwinii,Carex darwinii,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
kc,Carex decidua,Carex decidua,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
cx,Carex gayana,Carex gayana,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
c51,Carex magellanica,Carex magellanica,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
zk,Carex maritima,Carex maritima,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
c52,Carex microglochin,Carex microglochin,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
fj,Carex pleioneura,Carex pleioneura,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
c53,Carex sorianoi,Carex sorianoi,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
kx,Carex sp.,Carex sp.,Carex,Monocotiledonea,Acuatica,No,Nativa,baja,No,No aplica,No aplica,Sin dato - no verificado en RCE
c23,Carex subantarctica,Carex subantarctica,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
c24,Carex vallis-pulchrae,Carex vallis-pulchrae,Carex,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
c54,Carpha schoenoides,Carpha schoenoides,Carpha,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c25,doca,Carpobrotus chilensis,Carpobrotus,Latifoliada,Suculenta,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cu,cardilla,Carthamus lanatus,Carthamus,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
CS,castaño,Castanea sativa,Castanea,Latifoliada,Arbol,Sí,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
Ya,flor del minero,Centaurea floccosa,Centaurea,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
fv,Centipeda elatinoides,Centipeda elatinoides,Centipeda,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ea,Cerastium arvense,Cerastium arvense,Cerastium,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cp,palqui,Cestrum parqui,Cestrum,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ch,Chaetanthera chilensis,Chaetanthera chilensis,Chaetanthera,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cj,Chaetanthera glandulosa,Chaetanthera glandulosa,Chaetanthera,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ci,Chaetanthera moenchioides,Chaetanthera moenchioides,Chaetanthera,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c15,Chenopodium petiolare,Chenopodium petiolare,Chenopodium,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cv1,Chenopodium vulvaria,Chenopodium vulvaria,Chenopodium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
Cd,mata verde,Chiliotrichum diffusum,Chiliotrichum,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C26,Chiliotrichum fuegianum,Chiliotrichum fuegianum,Chiliotrichum,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
lq,orquídea,Chloraea cristata,Chloraea,Monocotiledonea,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c30,Chorizanthe commissuralis,Chorizanthe commissuralis,Chorizanthe,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ia,Chorizanthe dasyantha,Chorizanthe dasyantha,Chorizanthe,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C17,Chorizanthe deserticola,Chorizanthe deserticola,Chorizanthe,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Yb,Chorizanthe frankenioides,Chorizanthe frankenioides,Chorizanthe,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C24,Chorizanthe intricata,Chorizanthe intricata,Chorizanthe,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cb,Chuquiraga acicularis,Chuquiraga acicularis,Chuquiraga,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C22,Chuquiraga atacamensis,Chuquiraga atacamensis,Chuquiraga,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Co,hierba blanca,Chuquiraga oppositifolia,Chuquiraga,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C14,Chuquiraga spinosa,Chuquiraga spinosa,Chuquiraga,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C19,Chuquiraga ulicina,Chuquiraga ulicina,Chuquiraga,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cg,tihuén,Chusquea argentina,Chusquea,Monocotiledonea,Bambu,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ce,colihue,Chusquea coleu,Chusquea,Monocotiledonea,Bambu,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cu,quila chica,Chusquea cumingii,Chusquea,Monocotiledonea,Bambu,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cm,tihuén,Chusquea montana,Chusquea,Monocotiledonea,Bambu,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cq,quila,Chusquea quila,Chusquea,Monocotiledonea,Bambu,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cq1,Chusquea sp.,Chusquea sp.,Chusquea,Monocotiledonea,Bambu,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ch,tihuén,Chusquea uliginosa,Chusquea,Monocotiledonea,Bambu,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C5,cardo,Cirsium vulgare,Cirsium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
c44,Cistanthe salsoloides,Cistanthe salsoloides,Cistanthe,Latifoliada,Suculenta,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Xh,"crucero, cunco rojo",Colletia hystrix,Colletia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cs,crucero,Colletia spinossisima,Colletia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cy,colliguay,Colliguaja dombeyana,Colliguaja,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ci,duraznillo,Colliguaja integerrima,Colliguaja,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cf,colliguay,Colliguaja odorifera,Colliguaja,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cl,colliguay,Colliguaja salicifolia,Colliguaja,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cB1,Copiapoa boliviana,Copiapoa boliviana,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cC,quisco,Copiapoa cinerascens,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cI,quisco,Copiapoa cinerea,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cC1,Copiapoa columna-alba,Copiapoa columna-alba,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cQ,quisco,Copiapoa coquimbana,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cD,quisco,Copiapoa dealbata,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cE,quisco,Copiapoa eremophila,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cG,quisco,Copiapoa gigantea,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cH,quisco,Copiapoa haseltoniana,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cL,quisco,Copiapoa longistaminea,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cM1,Copiapoa melanohystrix,Copiapoa melanohystrix,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cS,quisco,Copiapoa solaris,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cT1,Copiapoa tenebrosa,Copiapoa tenebrosa,Copiapoa,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
CD,carbonillo,Cordia decandra,Cordia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cB,Corryocactus brevistylus,Corryocactus brevistylus,Corryocactus,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cz,Cola de zorro,Cortaderia atacamensis,Cortaderia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c55,cortaderia,Cortaderia egmontiana,Cortaderia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cr,cola de zorro,Cortaderia rudiuscula,Cortaderia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c2,Cortaderia sp.,Cortaderia sp.,Cortaderia,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
os,cortadera,Cortaderia speciosa,Cortaderia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cv,huella,Corynabutilon vitifolium,Corynabutilon,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cc2,Cotula coronopifolia,Cotula coronopifolia,Cotula,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c1,Cotula scariosa,Cotula scariosa,Cotula,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ka,Crassula peduncularis,Crassula peduncularis,Crassula,Latifoliada,Suculenta,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C1,cratego,Crataegus monogyna,Crataegus,Latifoliada,Arbusto,No,Exotica,alta,No,No aplica,Sí,Sin dato - no verificado en RCE
CR,patagua,Crinodendron patagua,Crinodendron,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
xa,Cristaria andicola,Cristaria andicola,Cristaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
zs,Cristaria aspera,Cristaria aspera,Cristaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
kf,Cristaria cyanea,Cristaria cyanea,Cristaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
zv,Cristaria glaucophylla,Cristaria glaucophylla,Cristaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
kg,Cristaria gracilis,Cristaria gracilis,Cristaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C25,Cristaria integerrima,Cristaria integerrima,Cristaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Xp,malvilla,Cristaria pinnata,Cristaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cm,malvilla,Cristaria sp.,Cristaria,Latifoliada,Hierba,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
c45,Cristaria viridiluteola,Cristaria viridiluteola,Cristaria,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Cr,Croton chilensis,Croton chilensis,Croton,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cg,Cryptantha glomerata,Cryptantha glomerata,Cryptantha,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c70,Cryptantha hispida,Cryptantha hispida,Cryptantha,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
c16,Cryptantha parviflora,Cryptantha parviflora,Cryptantha,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
CA,peumo,Cryptocarya alba,Cryptocarya,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
mB,Cumulopuntia echinacea,Cumulopuntia echinacea,Cumulopuntia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
cV,Cumulopuntia sphaerica,Cumulopuntia sphaerica,Cumulopuntia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
CC,ciprés,Cupressus macrocarpa,Cupressus,Conifera,Arbol,Sí,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
CU,ciprés,Cupressus sp.,Cupressus,Conifera,Arbol,Sí,Exotica,media,No,No aplica,No,Sin dato - no verificado en RCE
cT,Cylindropuntia tunicata,Cylindropuntia tunicata,Cylindropuntia,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ca,Cynara cardunculus,Cynara cardunculus,Cynara,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
c49,Cyperus laevigatus,Cyperus laevigatus,Cyperus,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
C6,Cytisus striatus,Cytisus striatus,Cytisus,Latifoliada,Arbusto,No,Exotica,alta,No,No aplica,Sí,Sin dato - no verificado en RCE
dg,pasto ovillo,Dactylis glomerata,Dactylis,Monocotiledonea,Graminea,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
DD,trevo,Dasyphyllum diacanthoides,Dasyphyllum,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
d21,Datura sp.,Datura sp.,Datura,Latifoliada,Hierba,No,Exotica,media,No,No aplica,No,Sin dato - no verificado en RCE
dw,Deschampsia cordillerarum,Deschampsia cordillerarum,Deschampsia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
a43,Deschampsia flexuosa,Deschampsia flexuosa,Deschampsia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
d12,Deschampsia sp.,Deschampsia sp.,Deschampsia,Monocotiledonea,Graminea,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
d3,Descurainia sp.,Descurainia sp.,Descurainia,Latifoliada,Hierba,No,Nativa,baja,No,No aplica,No aplica,Sin dato - no verificado en RCE
ÃÂ,Descurainia stricta,Descurainia stricta,Descurainia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Dd,taique,Desfontainia fulgens,Desfontainia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dD,Desfontainia fulgens,Desfontainia fulgens,Desfontainia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dC,chaguar del jote,Deuterocohnia chrysantha,Deuterocohnia,Monocotiledonea,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dy,Chake,Deyeuxia breviaristata,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
d4,Deyeuxia brevifolia,Deyeuxia brevifolia,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
d18,Deyeuxia cabrerae,Deyeuxia cabrerae,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dx,sora,Deyeuxia chrysantha,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ñq,Deyeuxia chrysostachya,Deyeuxia chrysostachya,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
d11,Deyeuxia crispa,Deyeuxia crispa,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dv,Deyeuxia curvula,Deyeuxia curvula,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
d1,Deyeuxia deserticola,Deyeuxia deserticola,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dn,Deyeuxia eminens,Deyeuxia eminens,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
d6,Deyeuxia rigescens,Deyeuxia rigescens,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
d10,Deyeuxia velutina,Deyeuxia velutina,Deyeuxia,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
d14,Dicranoloma sp.,Dicranoloma sp.,Dicranoloma,Briofita,Briofita,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
du,dedalera,Digitalis purpurea,Digitalis,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
Dj,retama,Diostea juncea,Diostea,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Dm,Diplostephium meyenii,Diplostephium meyenii,Diplostephium,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Dc,chacay,Discaria chacaye,Discaria,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ds,chacay,Discaria serratifolia,Discaria,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Dt,chacay,Discaria trinervis,Discaria,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dd,Distichia muscoides,Distichia muscoides,Distichia,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dh,Distichlis humilis,Distichlis humilis,Distichlis,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
dp,grama salada,Distichlis spicata,Distichlis,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
df,Donatia fascicularis,Donatia fascicularis,Donatia,Latifoliada,Hierba,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Da,canelo enano,Drimys andina,Drimys,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
DW,canelo,Drimys winteri,Drimys,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
eQ,quisco,Echinopsis chiloensis,Echinopsis,Latifoliada,Cactacea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ev,hierba azul,Echium vulgare,Echium,Latifoliada,Hierba,No,Exotica,alta,No,No aplica,No,Sin dato - no verificado en RCE
e15,Eleocharis lechleri,Eleocharis lechleri,Eleocharis,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
e16,Eleocharis melanomphala,Eleocharis melanomphala,Eleocharis,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
ep1,Eleocharis pachycarpa,Eleocharis pachycarpa,Eleocharis,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
el,Eleocharis pseudoalbibracteata,Eleocharis pseudoalbibracteata,Eleocharis,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
e17,Eleocharis sp.,Eleocharis sp.,Eleocharis,Monocotiledonea,Acuatica,No,Nativa,media,No,No aplica,No aplica,Sin dato - no verificado en RCE
e11,Eleocharis tucumanensis,Eleocharis tucumanensis,Eleocharis,Monocotiledonea,Acuatica,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
e20,Elymus magellanicus,Elymus magellanicus,Elymus,Monocotiledonea,Graminea,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
EN,notro,Embothrium coccineum,Embothrium,Latifoliada,Arbol,Sí,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Er,murtilla,Empetrum rubrum,Empetrum,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
E1,Prosopis chilensis,Encelia canescens,Encelia,Latifoliada,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Ea,pingo pingo,Ephedra andina,Ephedra,Gimnosperma,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
Eb,pingo pingo,Ephedra breana,Ephedra,Gimnosperma,Arbusto,No,Nativa,alta,No,No aplica,No aplica,Sin dato - no verificado en RCE
